,text,type,dataset
33,"Nepal earthquake maybe closer to the NE India near far: This report is prepared by Mixi Babul for Indilens
New... http://t.co/oLarW9BFiS",2,Nepal Earthquake
34,Our support to all families affected by the earthquake in Italy. Donate Italian Red Cross: https://t.co/gln9IciljB https://t.co/2kb7VpXM8N,0,Italy Earthquake
35,"First Service Free*\nDownload the Mekvahan App now\nGet discounts and offers on Car &amp; Bike service; sanitization , care, maintenance &amp; repairs.\n@anandmahindra \n@RNTata2000 \n#lockdown #delhi #noida #gurgaon #India #vehicles  #StayHome #COVID19 #ElectricVehicles #StaySafe #bike https://t.co/ervZhIZvXc",2,Covid-19
36,Earthquake Toll In India Goes Up To 75: New Delhi - The death toll in India following Saturday's devastating e... http://t.co/VsdrGyKE2a,2,Nepal Earthquake
37,Italy earthquake death toll rises to 247: The 6.2-magnitude quake struck 65 miles north-east of Rome yesterday  https://t.co/7JCJ6nlysr,2,Italy Earthquake
38,"Rainfall start in bhaktapur nepal, create another problem for the people in camps, sanitation and clean drinking water is needed.",0,Nepal Earthquake
39,Inside the Inflatable Hospital That’s Saving Lives in Nepal http://t.co/uYuMdhjJ91 #Nepal_Earthquake,1,Nepal Earthquake
40,"Light in darkness @NepalRedCross opened new earthquake-safe bloodbank prior #Nepalquake It runs on solar power, indispensable @Federation",1,Nepal Earthquake
41,#MSGHelpEarthquakeVictims Dera Sacha Sauda dispatched 16000 food packages for Nepal as requested by PMO,1,Nepal Earthquake
42,"Italy - Rotary partners sorting transp &amp; accom for incoming SBox team of 3 tmrw. Arr Rome, then on to quake zone. https://t.co/KDBfv134ns",1,Italy Earthquake
43,"LAST DAY : NEPAL EARTHQUAKE RELIEF CAMP
Please donate Clothes, Blankets, Biscuit, other food items etc. at our... http://t.co/5rYruxrIJ7",0,Nepal Earthquake
44,"@earthquake_5 흐흑 난 다야 30개,,, 단챠를 돌리자! (급기야)",2,Italy Earthquake
45,@AnubhaShukla7 you should visit nepal they need medical store,0,Nepal Earthquake
46,"ACAN and NCASA Earthquake Relief program yesterday at Kathmandu District: Tents, Food supplies and Sanitary items... http://t.co/aaQu4Pwqib",1,Nepal Earthquake
47,3Novices:Nepal Earthquake: Choppers Rescue Climbers Stranded at High Altitude on Mount Everest http://t.co/WWDYa682BC Climbers stranded f…,1,Nepal Earthquake
48,"#Earthquake in Italy: at #Amatrice town high damages, streets blocked and one bridge fell down. Mayor ask for help. https://t.co/TFOJ89HXaJ",0,Italy Earthquake
49,"Earthquake: 4 NDRF teams sent to Bihar and 1 NDRF team operation in UP, says Rajnath Singh http://t.co/fPxxgo8Tm2",1,Nepal Earthquake
50,"TAMIL Actor k.Vijay lost his life in Nepal earthquake 
R.I.P VIJAY",2,Nepal Earthquake
51,"RT @GHhub: U.N., Partners Launch $415M Appeal For Nepal Earthquake Aid; Thousands In Need Of Food, Water... http://t.co/k6HURdXI08 @KaiserF…",0,Nepal Earthquake
52,"RT @Sinceere_Angel: #Earthquake in Nepal~ Golden Temple to send 1 Lakh meals &amp; Delhi Gurudwaras to send 25k meals daily
#Respect to Sikhism",1,Nepal Earthquake
53,RT @guardian: Nepal earthquake: anger among survivors as food and water in short supply http://t.co/wJRg9NU9IS,0,Nepal Earthquake
54,Welcome to Naija Music Movement : Earthquake leaves 159 dead; as rescuers dig by hand to save survivors https://t.co/iyxqT1zJEA,2,Italy Earthquake
55,@sk__fan @being_bibechan yup like Sunday's earthquake...,2,Nepal Earthquake
56,Italian Red Cross today requesting people in earthquake affected areas remove wifi passwords on routers to allow emergency use #EPTip,0,Italy Earthquake
57,"We need helpers to raise fund to buy food and water for earthquake victims .. Join us help us :)
1help can save a... http://t.co/dZUCIOjQG7",0,Nepal Earthquake
58,Nepal Earthquake captured live in video by a tourist ! http://t.co/UH1FTvckcP,2,Nepal Earthquake
59,"@PMOIndia @narendramodi Please watch This link sir\nCovid19 will be end one day but this guy have a really truth .\n\ https://t.co/hpKvEk24mM\""""",2,Covid-19
60,"@InCrisisRelief @SpokespersonMoD #earthquake #nepalquake 
Let's not forget #Tibetearthquake https://t.co/EnhsUe0fnJ via @@thetribunechd",2,Nepal Earthquake
61,"RT @nytimesworld: Aftershocks, rain, lack of shelter and fears in Nepal that water and power will run out. http://t.co/8BCXwU9TbP http://t.…",0,Nepal Earthquake
62,"Samast Mahajan provided food to almost 20,000 earthquake affected people in Nepal from 30 April to 02 May... http://t.co/k7nYh864Ss",1,Nepal Earthquake
63,"#COVID19 count in Madhya Pradesh reaches 12,798 as 203 more people test positive, three deaths in Indore, another one in Dhar raise toll to 546: Official",2,Covid-19
64,"Few hours ago, Drinking water has been distributed through tankers in Lik Road, Kalanki! #NepalQuake #EarthquakeNepal #earthquake #Nepal",1,Nepal Earthquake
65,#Nepal require four people sized tents #earthquake,0,Nepal Earthquake
66,Need few tents for a village in kyakmi syangja. Anybody know where I can get them??? #quakenepal #nepal #earthquake,0,Nepal Earthquake
67,#TerremotoItalia Una spiegazione puntuale su intensità e danni sul Nyt https://t.co/VsvqTCbKNC  Media Usa insistono sul dato: magnitudo 6.2,2,Italy Earthquake
68,"RT @NplJoker: After observation, I humbly request with Nepal Government that please provide drinkable water to every small &amp; big safety cam…",0,Nepal Earthquake
69,"3Novices:After Losing Homes, People in Earthquake-Hit Nepal Face Food Crisis With aftershocks spreading fear and thousands pitching tents o…",0,Nepal Earthquake
70,RT @ExplorersClub: Did Nepal Earthquake Change Mount Everest’s Height? http://t.co/LncpFvUQSv,2,Nepal Earthquake
71,"@quizderek: earthquake is a tragedy for Nepal, a windfall for many agencies ,business for media and politics for the netas.#NepalEarthquake",2,Nepal Earthquake
72,"“@YusraSAskari: 4, C-130 air-crafts with facilities of a 30 bed hospital,will b dispatched to Nepal by Pak, today.”Good Nepal need all of us",1,Nepal Earthquake
73,"Please help Nepal,ur help needed there. Thousands are dying without water,foods,medicines. https://t.co/4w6m7eKxDv",0,Nepal Earthquake
74,RT @pamkhamaid: American Himalayan Foundation's Erica Stone blogs earthquake reports from Kathmandu. http://t.co/O33WLBs5gr #NepalQuake,2,Nepal Earthquake
75,"RT @indiawater: Acute crisis of water, power &amp; medical facilities in Nepal after earthquake. This and more water news from last week http:/…",0,Nepal Earthquake
76,#Nepal Earthquake Survivors need your help. Help out! Give to Nepal Relief Fund - for Food and Water need urgent http://t.co/p61KNiTp5x.,0,Nepal Earthquake
77,"RT @ppariyar: i spent three hours in Trama center people are coming more and more,more volunteers,doctor ++ needed #Nepal Earth quick",0,Nepal Earthquake
78,The @latimes reports on the shortages of power and #safewater in the aftermath of the earthquake in Nepal. http://t.co/TgM8GBdJGJ,0,Nepal Earthquake
79,CALLING FOR HELP!! No food &amp; water has been reach Maal pokheri dhobighat-4 till now #Earthquake #PleaseHelpNepal #HELPNEPAL #pray4nepal,0,Nepal Earthquake
80,"Hope for no rain. ""@nytimesworld: Nepal quake victims sleeping outside. Water, food scarce: http://t.co/LtKpWttXYx http://t.co/e502wAnhzI""",0,Nepal Earthquake
81,"Need of Shelter for Earthquake Victim with Muscular Disorder, Nepal
http://t.co/kOWWO0bUjk
#HelpEathquakeVictimNepal",0,Nepal Earthquake
82,"#Delhi
Need #Blood Type :  O-positive
At : BLK Hospital
Blood Component : Need Plasma O+ve from #COVID19 recovered patient.
Primary Number : 9920462923
Illness : #Corona
Via: @vibe1972
#BloodMatters
Powered by Twitter https://t.co/oBr0C3H5Ae",0,Covid-19
83,"RT @SamiYusuf: We need your donation to get immediate food assistance to victims of the #NepalQuake 

http://t.co/lZ3eZPUiM5 http://t.co/lC…",0,Nepal Earthquake
84,"Dear Pakistanis, There's a good news, scientists discovered a treatment that can reduce COVID19 transmission by 70%, and its just a piece a cloth you wear in front of your dumb fucking face. #COVID19",2,Covid-19
85,RT @scoopwhoopnews: Sikh organization to send 1 lakh food packets to #earthquake hit-Nepal from the Golden Temple | #IndiaWithNepal http://…,1,Nepal Earthquake
86,Italian Red Cross urges people to disable Wi-Fi passwords after devastating earthquake. A security expert has... https://t.co/pMbvD8TBo1,0,Italy Earthquake
87,"@capt_amarinder We student of GNDU are not ready to come for final semester exams in this covid19 outbreak as due to many reasons,Life matters.many universities are cancelling exams for safety of students like Odisha, Maharashtra &amp;ALL IIT's,NIIT's, so UGC must cancel&amp;promote students for safety",2,Covid-19
88,"RT @UN_Water: NEPAL EARTHQUAKE: URGENT NEED FOR WATER, SANITATION AND FOOD http://t.co/X67fDsVAm5 http://t.co/KPXEw1c3ts",0,Nepal Earthquake
89,"Earthquake, a surgical emergency http://t.co/npp22bhTRS #docplexus",0,Nepal Earthquake
90,"PrivateHospital charging 5lakh+ for  treatment of #COVID19 for medicines&amp; drugs, with no vaccine or Drug yet found, but no one has butt 2 mock them, but they'll mock a person who promoted yog worldwide,&amp; especially yog&amp; ayurved. Is it worth it???\n#coronilTablet #RamdevCoronaCure",2,Covid-19
91,woke up to the news of an earthquake destroying Italy and I don't even know what to say,2,Italy Earthquake
92,@PragyaNGO are in Bisambara village today distributing relief! help us reach more #earthquake survivors! http://t.co/HafKNVHflO,1,Nepal Earthquake
93,Italian Red Cross volunteers are on the ground supporting people affected by the recent earthquake.  https://t.co/wvMegMxU8c,1,Italy Earthquake
94,@pfizer Please provide medicine and aid to Nepal #helpNepal #NepalEarthquake,0,Nepal Earthquake
95,BBC News Tech Italy quake rescuers ask locals to unlock their wi-fi: Rescue teams searching for earthquake su... https://t.co/TTNXsVQWdW,0,Italy Earthquake
96,"5.4 magnitude earthquake hits Andaman and Nicobar Islands, no casualties reported: A 5.4 magnitude earthquake hit.. http://t.co/5G4lG5Fh7T",2,Nepal Earthquake
97,Our disaster desk is active for earthquake activity today. Volunteers are monitoring. Volunteers please report in to Skype #hmrd via ^ct,1,Italy Earthquake
98,"Italy earthquake: Army mobilized, dozens buried in Amatrice + Photos https://t.co/6fA30wEhND",1,Italy Earthquake
99,"Italy Earthquake: Death Toll Passes 240 
--- Read more --&gt;https://t.co/xb12X3kQJm  
via @theglobengr https://t.co/Poy7xMyYNB",2,Italy Earthquake
100,"GRAZIE! or GRACIAS! thank! you HOLY SEE! for sending over your Vatican fire fighters to help Italy's earthquake victims, Heavenly!!",1,Italy Earthquake
101,"Best Example of #Humanity #Golden #Temple to send 100,000 food packets to #earthquake hit #NepalEarthquake #Respect #GodIsGood",1,Nepal Earthquake
102,"RT @Lacoul: Anyone trapped? Need rescue?
Call +977-9851281363... Police help...
Share it to as many as possible.. #NepalEarthquake #Nepal  …",1,Nepal Earthquake
103,RT @being_kaushar: Result aa gya lo ab ek aur earthquake :(,2,Nepal Earthquake
104,I'm ok. The earquake here wad minimal but we have problem with the water and shitty Wi-Fi. #earthquake #terremoto #ItalyEarthquake,0,Italy Earthquake
105,"#BREAKING: Magnitude 6.1 earthquake shakes Rome and central Italy, damaging buildings https://t.co/c32cnZSdKn https://t.co/fuKEQIEwkX",2,Italy Earthquake
106,"RT @DanWilliams: Israel sending aid and rescue team to quake-stricken Nepal, which will land at nearest airport - @Netanyahu",1,Nepal Earthquake
107,Who can tell if it was an aftershock or a new foreshock? It was scary for sure. Some people will tent out tonight. #nepal #earthquake,2,Nepal Earthquake
108,#Nepal #earthquake Help out! Give to Nepal Relief Fund - #donate for Food and Water http://t.co/p61KNiTp5x.,0,Nepal Earthquake
109,"#ArvindVsMedia rape , scams , murders , scandals , nudity , riots , earthquake tell me one positive thing media focuses",2,Nepal Earthquake
110,YGGNRD-Nepal helping Earthquake displayed people by erecting tents &amp; providing drinking water@ in Nepal #GNRD #YGGNRD http://t.co/NiQxP9p43O,1,Nepal Earthquake
111,Any places to buy tents and blankets? We want to buy them. #nepal #earthquake,0,Nepal Earthquake
112,"I felt an earthquake ! - NEPAL, Thu 30 Apr 2015 06:22:11 UTC+05:45 http://t.co/HBR27oMIjC",2,Nepal Earthquake
113,"Strong earthquake shakes central Italy, death toll 10 and rising https://t.co/7JWHCn2mDy",2,Italy Earthquake
114,"How can you help in #Emergency or #NaturalDisaster situations? Unlock your #WiFi for those in need to communicate.

https://t.co/oPPaEUIXfF",0,Italy Earthquake
115,"RT @rajnivscidjokez: 9 Quotes By Indian Soldiers That Will Expand Your Chest By 10 Inches &lt;3 

Earthquake - Call The Indian Army... http://…",2,Nepal Earthquake
116,RT @arora1saurav: @Gurmeetramrahim giving food to the earthquake victims Hats off @derasachasauda @ITwingDSS #MSGHelpEarthquakeVictims http…,1,Nepal Earthquake
117,Serving a beef to Nepal earthquake survivors shows how niggard this Pakistani are,2,Nepal Earthquake
118,"BBC: Help has begun to reach remote regions of Nepal affected by Saturday's earthquake, but many remain in desperate need of food and water.",0,Nepal Earthquake
119,Breaking: This could happy anywhere in the western part of the US! https://t.co/u21TDuyz7G,2,Italy Earthquake
120,"Help. But help smartly | A week after earthquake, Nepal still needs tents, food  http://t.co/8oe40WtEVU",0,Nepal Earthquake
121,The most predictable thing about earthquakes is that they still remains largely unpredictable... SHARE STRENGTH NOT FEAR... #Earthquake,2,Nepal Earthquake
122,1000 Tents Donation for Nepal #EarthQuake2015Nepal #EarthQuake #PrayforNepal #WorkforNepal #EarthQuakeRelief http://t.co/iJPFap3TO5,1,Nepal Earthquake
123,3Novices:On Board an Indian Air Force Chopper Mission in Earthquake-Hit Nepal http://t.co/lC8LwORMQZ Indian Air Force helicopters are res…,1,Nepal Earthquake
124,RT @directorpmucd: Nepal Earthquake Relief: Civil Defence volunteers loading relief materials in spl train at Delhi. Great team effort. htt…,1,Nepal Earthquake
125,"5.1 Magnitude Earthquake 10 Km From Mirik, West Bengal, India

UTC Time: Monday, April 27, 2015 12:35 PM
Your... http://t.co/iaCeQHvtO1",2,Nepal Earthquake
126,73 people are dead... :( #Earthquake #PrayForItaly this a terrible nightmare,2,Italy Earthquake
127,"This looks bad &amp; also alarming. In my opinion, it's almost impossible to live with #COVID19.\n\nKingston in Ontario wasn't reporting any COVID cases for more than a month and they have 18 now &amp; all linked to a nail salon and spa. \n\nhttps://t.co/w6Uv76sO1I",2,Covid-19
128,"Italy quake - people sleeping outdoors, in cars, in tents. ShelterBox team in place, making plans to help.",1,Italy Earthquake
129,"Nepal Earthquake Damages At Least 14 Hydropower Dams 

-Nation’s power grid loses more than 30 percent of... http://t.co/Hp7gOIfouB",0,Nepal Earthquake
130,"RT @InsanNancy: The Grief and  Pain of earthquake victims are heard and felt by  Guruji 
#NepalDisasterReliefByMSG",2,Nepal Earthquake
131,RT @oxfamgb: A powerful earthquake has hit Nepal. Oxfam is there. We urgently need your help to provide clean water &amp; sanitation. https://t…,0,Nepal Earthquake
132,"【極微小地震速報 福島県26/289】
2016/08/25 16:31:28 JST, 
日本 福島県 鮫川村役場の南東7km, 
M0.5, TNT84.8g, 深さ8.7km, 
MAP https://t.co/Upv2iaNJbV 1576",2,Italy Earthquake
133,RT @lkafle: plz read when u have time: #NepalEarthQuake written by lava kafle what happened during earthquake period  still http://t.co/lGY…,2,Nepal Earthquake
134,At the moment we are working for Earthquake releif and temporary shelter &amp;(toilet)building  for Earthquake effect... http://t.co/8xuaI11v6M,2,Nepal Earthquake
135,UP farmers donate blood for Nepal earthquake victims: Despite facing severe hardships after crop loss due to u... http://t.co/U1jiaYl3pO,1,Nepal Earthquake
136,A Indian Air Force helicopter flies with relief material to be droped at earthquake affected areas in… https://t.co/1mzBaV7M7s,1,Nepal Earthquake
137,business: Death toll of Italy’s quake rose to 247 and rescue crews are searching for survivors … https://t.co/3FZ1Lbjn7i,1,Italy Earthquake
138,"I wish it ws easy for me to go to Nepal to help my bff's folks. Camping outside their own crumpled house. No water, food n electricity",0,Nepal Earthquake
139,"@narendramodi Sir, almost 18,000 cases yesterday! No other option left to save the country now. There has to be another lockdown. The second wave will be deadlier. We are running out of time. #Lockdown5 #COVID19",2,Covid-19
140,RT @ohh_facts: The 2004 Indian Ocean earthquake lasted nearly 10 minutes—the longest on record,2,Nepal Earthquake
141,If in the area affected by #earthquake in Italy please remove passwords from working wi-fi connections &amp; for emergencies call 800 840 840,0,Italy Earthquake
142,"RT @akhileshanandd: #NepalEarthquake victims sleeping outside in Nepal, water and food are scarce  http://t.co/Y4NAC0sNrq",0,Nepal Earthquake
143,"INDIA,CHINA, SINGAPORE,BANGLADESH,SILANKA, PAKISTAN,ISRAEL,TURKEY sending are sending immediate aid to NEPAL , #NepalEarthquake",1,Nepal Earthquake
144,BBC : Nepal mourns victims of earthquake http://t.co/bjp84cj4jo,2,Nepal Earthquake
145,Kaagmandu TV: Earthquake CCTV Footage -- Just Horrific http://t.co/LO4tzdZggf,2,Nepal Earthquake
146,"RT @DeshGujarat: Gujarat ready to send medical teams,structural eng having experience of post-earthquake work http://t.co/yl8muSvULM http:/…",1,Nepal Earthquake
147,"via @fpjindia Nepal Quake: Death toll rises to 4,310: Kathmandu: The death toll from the massive earthquake th... http://t.co/K8IlIdAw0b",2,Nepal Earthquake
148,#lockdownextension #LockdownCooking #Cooking #cookingtips #DIY #mealkit #GurugramCoronaBulletin #cookityourself #MasterChef #InnovationAmidCOVID19 #innovations #chef #beingchef #weekend #weekendmood #weekendlockdown #Easycooking #startups #Entrepreneurs #Indian #COVID19 #lockdown https://t.co/l5zL79wqEU,2,Covid-19
149,RT @drspagarwal: Indian #RedCross partners meeting for up-scaling support to Nepal #earthquake victims through shelter materials. 1/2 http:…,2,Nepal Earthquake
150,volunteers from everywhere in Italy are reaching the area of earthquake to help. We show our best in tragedies. 🇮🇹❤️😒😭,1,Italy Earthquake
151,RT @RonitBoseRoy: Have been watching reports of the earthquake. Prayers for strength to all affected.,2,Nepal Earthquake
152,Free Medical Camps for Earthquake Victims #Earthquakenepal http://t.co/RsJuPMLpia,1,Nepal Earthquake
153,"Trembling windows, &amp;nbsp;beds also tremble. I feel tired because of continuous earthquake in Nepal&amp;nbsp;",2,Nepal Earthquake
154,Sounds of traffic are back this morning in Kathmandu. People are still displaced. No electricity or running water. #kathmandu #earthquake,0,Nepal Earthquake
155,Friday nights have changed so much.. that cannot even remember them #COVID19,2,Covid-19
156,3Novices:Hospital Struggles to Care for Earthquake Victims http://t.co/YbwATplUnC,0,Nepal Earthquake
157,"RT @OfficialTFK: We have 11,000 fans in the area affected by the earthquake. We are praying for you and wish you safety. #PrayForNepal http…",2,Nepal Earthquake
158,Any social worker who can send tent in Nepal for earthquake victim.,0,Nepal Earthquake
159,"there's been an earthquake in my country few hours ago, ancient towns were destroyed, there are many victims i'm so sad and sorrowful",2,Italy Earthquake
160,Italian Red Cross is on the ground with search and rescue teams and sniffer dogs after a 6.2 magnitude earthquake. https://t.co/Bujn0qPb49,1,Italy Earthquake
161,"RT @persecutionnews: Eight million people have been impacted by Saturday's earthquake in Nepal. The death toll has reached 4,400. http://t.…",2,Nepal Earthquake
162,"LAST DAY : NEPAL EARTHQUAKE RELIEF CAMP
Please donate Clothes, Blankets, Biscuit, other food items etc. at our... http://t.co/5rYruxrIJ7",0,Nepal Earthquake
163,We are praying for peoples who left there life in Nepal earthquake trazdy and Panna bus accident also.Ram ram ram ram,2,Nepal Earthquake
164,@anmolparnami its okkkk :) this saturday i was experienced a big earthquake but we are Safe . But Nepal is (cont) http://t.co/fIf7O3jXPJ,2,Nepal Earthquake
165,"RT @3novices: 3Novices:Earthquake in Andaman and Nicobar, No Danger of Tsunami, Say Experts http://t.co/JV9ZYagjZH An earthquake measuring …",2,Nepal Earthquake
166,Photo: Rescuers carry teen boy pulled alive from rubble five days after Nepal earthquake - @NBCNews,2,Nepal Earthquake
167,"Actions does more than thoughts or prayers! Like donating blood, food, water and shelter. #ItalyEarthquake #Italy #Earthquake",1,Italy Earthquake
168,"#Covid19 update #Maharashtra, June 26, 2020!!  5024 positive cases &amp; 175 deaths recorded today. Tally positive cases 1,52,765.  ( 91 deaths in last 48 hours &amp;  84 deaths of previous dates but recorded today). Death toll 7106.",2,Covid-19
169,"""Some 70% of Italy's buildings not built to anti - seismic standards."" Prevention&gt;Cure @matteorenzi #terremoto 

https://t.co/XgdQLZoj3O",2,Italy Earthquake
170,Free calls to Italy in the wake of earthquake https://t.co/MQ3Unm6P20,1,Italy Earthquake
171,"@Peaceful_intent 
Kathmandu Medical College 4476152
Nepal Medical College (Teaching Hospital - Jorpati) 4486008",1,Nepal Earthquake
172,"I posted 42 photos on Facebook in the album ""Health Camp For Earthquake Victims - Day 3"" http://t.co/xWQ4wfQ5rp",1,Nepal Earthquake
173,"Latest: Delhi reports 63 deaths and 3460 COVID19 positive cases today\nTotal number of cases stands at 77,240 including 47091 recovered/discharged/migrated, 27,657 active cases and 2492 deaths: Delhi Government",2,Covid-19
174,RT @TLWH: Polish Trekker missing in Lamjung Nepal. Very difficult situation. No news. No search helicopter as they are all busy in main aid…,2,Nepal Earthquake
175,My area need mask #earthquake,0,Nepal Earthquake
176,The @RedCross is urging Italians to disable wifi passwords so responders and victims can communicate. #earthquake https://t.co/k9fNCjTpXz,0,Italy Earthquake
177,"RT @Outlookindia: Haryana Offers Food Packets, Blankets for Quake-Hit Nepal | http://t.co/hLP5K70Pcg | Outlook Wires",1,Nepal Earthquake
178,"""A shortage of vehicle out of Kathmandu valley."" #Nepal #Kathmandu #Transport #Disaster #Earthquake https://t.co/mPkqVDHIRT",0,Nepal Earthquake
179,"Prey for Nepal. Help Nepal in any form. food, shelter, money, water, medicine ..any help you can. #nepalquake",0,Nepal Earthquake
180,"Mahindra Pledges Support to Nepal Earthquake Victims 
http://t.co/TKJLmZ4hiK",2,Nepal Earthquake
