text,label,,
"Hey @jimmywa11 The Food Bank of Central & Eastern North Carolina is providing food, and other items for tornado relief. http://bit.ly/hNs10t",0,,
I wish I were going to this: http://bit.ly/eorVUy  The food is so good! Still dealing with tornado cleanup.,0,,
Err:509,1,,
All our xtra food from the expo today is going to tornado victims. This is why I love @hopecaferaleigh & their heart for the community.,0,,
No food for you poor people. #tornado  http://plixi.com/p/94267275,1,,
"Tornado's stealing a mans cheeseburger, wat will be nxt? The funniest part was at how angry the guy was that a tornado had stole his food.",1,,
Donating food today for the tornado victims. Which I had so much more to give,0,,
"RT @MrFlexDot lol a tornado robbed this guys food http://bit.ly/fIRa2k < LOL ""hamburgers, fries and drink!""",1,,
lol a tornado robbed this guys food http://bit.ly/fIRa2k,1,,
Is it me or are all the people helping in NC/SC after the tornado just morbidly obese. guess they can go at least a month without food.,1,,
Ordering food to the room. Tornado headed our way o_O,1,,
All my other food is frozen nd im nt bout to be standing over no stove while a tornado just passing thru: -/,1,,
I am the blithering idiot who was driving in the tornado. All for food. #morons @LaurenMEdelen @MoMcGaughey,1,,
RT @Move4TheMONEY I woulda been hella mad if a tornado snatched my food outta my hand / lmaoo,1,,
It ain't bullshitting out here. And I'm in line and the tornado siren done went off but I done paid so bitch better have my food,1,,
RT @Move4TheMONEY: I woulda been hella mad if a tornado snatched my food outta my hand-- nigga imagine dat shit blowin yo blunt out yo hand!,1,,
"Tornado sirens & power surges :( got lights and candles on, fans on to cool house down, news on, food, and me and my puppy are in bed!!",1,,
Good service lol RT @Feem29: Hong Kong just delivered my Chinese food during the tornado watch!!! Lol!!! #Loyal!!!,0,,
Hong Kong just delivered my Chinese food during the tornado watch!!! Lol!!! #Loyal!!!,0,,
Honey Nut Cheerios makes for some pretty good tornado food.,0,,
Over here with no power under tornado watch and shitt!!!! But look we still at buffalo wild wings picking up our food!!!,1,,
@rachelgodley were stuck til 1045. Luckily b brought me a bunch of food to eat before this tornado sucks up the house,1,,
I get to the c store for some food and she says its closed I'm like bish I risked my life in this tornado 2 get sum food u gon get my food,0,,
Dilemma! Tornado warning here in Indy. Sirens going off right now and I'm starving. But no food in the crib whatsoever! #DANG!,1,,
"the worst of the tornado has past #PineBluff so get yo fat ass in der and cook me some food
#1 P.M.",1,,
"@everynothing haha! What do you consider ""tornado food""?",1,,
@TKbadd21 girl I heard its a Tornado watch in your area in Terre Haute!! you better grab all the food and hide!! haha..but naw be safe girl,1,,
"Holy moly! Rain, hail, downpour and possible tornado and the food summit was crazy! Those who stayed out and... http://fb.me/VWIYHhoB",1,,
"Dear Tornado, I'm busy trying to eat y Chinese food. Back off. Sincerely, one hungry little girl.",1,,
Damn fools RT @QueBreeze Me and graham got that tornado alert text paused then was like we still going out to get this food. Lol,1,,
"@Paulo1389 we're raised around them, when I was a kid I would make 'tornado bags' &put every can food and drink and all my clothes n it haha",1,,
Me and graham got that tornado alert text paused then was like we still going out to get this food. Lol,1,,
"Stopped to get milk on the way home, Happy to see Food Lion is collecting $ for the tornado victims",1,,
Err:509,1,,
Tornado warnin @ EIU we all in the basement...on top of tht im hungry n ppl got plates of food smh,1,,
#food Video: Tornado 'Steals' Man's Burger: From A Hamburger Today Not to make light of the… http://goo.gl/fb/0cwxJ,1,,
Loved getting Chinese food with the roomies tonight! Now TV night and #tornado patrol.,0,,
if a tornado comes while we are at bobos I hope we get free food being as tho the power will be out :),0,,
Dang and I just ordered chinese food and now tornado warning.. I need to watch the weather channel more often,0,,
The weather has gone crazy. I hope my chinese food gets here before the #tornado #dc,1,,
"@Shaunyness headin down to outback now to get my food. can u be around when i get bk to talk. balt. Co. is under an ""active tornado warning""",1,,
um... soooo im under a severe tornado warning right now... fuck.. gettin food... before this shit gets real... radar is really against me,1,,
FUCK This Tornado Mess Damn Where The Fuck Is The FOOD!,1,,
Shit I'm boutta go eat cus if this tornado do make it over here imma need some food in my system,1,,
I wonder if a tornado took my cheeseburger could I get some free food too,1,,
I'm hungry. Someone brave the tornado and bring me food. :) #thanks,1,,
More than one freaking tornado in etowah and sonic stays open. And people actually come for food. Fucking stupid.,1,,
"Rain or not, tornado or not, yall better get come and get this food and I made a cake lol",1,,
Tornado? Lemme go ahead and get my Chinese food O.O,1,,
Right Before The Tornado Start Ima Order Some Chinese Food & See If They Deliver It lol,1,,
“@tellzTOOchoosey: If a tornado hit right now what would yall do”--my mom told me don't ever waste good food lol,1,,
Getting some Chick-fil-a with my sis. Gotta have comfort food before a tornado you know! :),0,,
I Love Joseph....He Was Gonnahh Come And Fix Mehh Food...But There's A Tornado Watch )=,1,,
"I would go make @TweetMyNAME_ some food, but theres a Tornado Watch :(",1,,
"Not sure what tornado watch holds for the game, but let's just say I'm not committing to stadium food just yet. #mets #nationals",1,,
manee fuck thiss tornado niggahss hungryy boudda go get somee MAN food,1,,
Err:509,1,,
@TWCjerdman Did you see this tornado pic about to hit a fast food place? Yikes!! http://twitpic.com/4q93rs,1,,
soooo.. i really want food. dang you tornado for disrupting my eating schedule..,1,,
"Tornado had formed over my house smh O__o, power been out since 12 food prolly no good smh!",1,,
Yo if a Tornado hits Im ordering food.. they gicing you all the tips to survive one... At least they looking out on the Cable,1,,
Chatt takingg thiss to far doe. Nigga told me not to eat cause a tornado coming. #Huh.? Ass back & gimme my food!,1,,
@essjayy22 round #2 w/ the tornado!! Lol no food this time!,1,,
so we in the basement cause its a TORNADO...wondering how long this is going to last..& i gotta order me some food due 2 the closing of cafe,1,,
Makinnn tacos. Perfect tornado food. ,40660.9125,0,
Just ate some good food! And there's a tornado watch tonight.,0,,
Is it bad that Im more concerned about food right now than this tornado warning?,1,,
"""Just ONE MORE pie before the tornado hits!"" says @mariancairns. The plight of the food stylist.  http://twitpic.com/4q9ref",0,,
"Senior picnic = free food, free tshirt, and a tornado warning. #success",0,,
Awww Shit Tornado Watches Poppin Off Im Bout to go get some food right now before the rain starts! i hate storms!,1,,
If I were at Walmart when a tornado hit I would go to the food section and eat all kinds of food ima die full,1,,
Omfg I was in lunch when the Tornado sirens go off I mean I had my food and everything.. We was out there for a hour And my food was cold..,1,,
And the bad part of it is both my dad and my aunt felt sorry that I lost all my food after the tornado so they made substantial donations,1,,
"When Katrina hit near Southern Miss, their students got $500 food stamp cards...so OleMiss betta do the same if this tornado do hit",1,,
"tornado ? OH HELL NAWL ! lemme charge my phone now , & get some food ! & leaave bitch ;)",1,,
Damn Walmart is empty as Hell ! Guess people are taking heed to food tornado situation .,1,,
RT @BHBANKS: this tornado not bout to stop a nigga from gettin food tho<<< lol,1,,
“@gQsmooth1: Whenever they say a tornado comin ion be concerned bout nun but tryin to get food before everything shut down” Me 2 Bruh,1,,
RT @unDeniabl_TALNT RT @gQsmooth1 Whenever they say a tornado comin ion be concerned bout nun but tryin to get food befo everythin shut down,1,,
Ok enough of this tornado thing. I'm safe right now. The main thing on my mind is food. I'm huuuuuuungry!!,1,,
Whenever they say a tornado comin ion be concerned bout nun but tryin to get food before everything shut down,1,,
"@JCOLE_92: ""@PNotG: Im so hungry...."" Aahhhhhhaa I just got food<= lol shutup cuz i cant even get out da room cuz of dis tornado",0,,
Awww wtf a tornado?? lol I need some food before that bitch hit,1,,
"RT @salarmyeds: #SalArmy thanx Vilonia High School, US Foods, & Lake Ice who donated food & ice for #Vilonia #tornado relief today",0,,
Awww MAN IM SCARED CAUSE OF THE TORNADO BUT ME #COURTCOURT AND @JUST_KENDRA GOIN 2 GET SOME FOOD #HUNGRYandSCAREDTWEET.,0,,
"#OFS is working hard to help #STL Tornado victims. If you or some1 you know is in need of food, please call our Hunger Hotline: 314-726-5355",1,,
I knew I should have moved to Eastside with my people sharing food stamps & ish with NO tornado warnings lol,0,,
Tornado Relief Efforts- Snack Food Items needed for clean up crews http://icont.ac/10Fj,0,,
RT @iPinkee_Promise: Tornado party at my apt. I supply the apt with the amenities and you bring the food. Whose down?!? » I'll bring liquor.,0,,
RT @iPinkee_Promise: Tornado party at my apt... I supply the apt with the amenities and you bring the food... Whose down?!? LOL,0,,
If i had some chicken and i saw a tornado comin i would seriously try to finish my food before i ran lol thats if i paid for it!,0,,
"Ron Swanson approves of this, this is as close as it gets to a mean tornado, Fast Food Lasagna http://youtu.be/m9FRSghXhDM",0,,
Disaster at Berry! SOS. Send food and water! Trapped in Dana Hall. #tornado #monsoon #hurricane #storm,1,,
Arts sychophants:  tornado warning is  perfect cover for sticking up a bank or  fast food joint. You have 'til  2nite to turn in your booty.,1,,
"Businesses donate funds, food to tornado victims and relief workers: The gesture was among the first of many off... http://bit.ly/f6GBgh",0,,
A tornado hit near our house but we were blessed but the town is tore up. The courthouse. Food places. Cars wrecked. Some killed :/,1,,
"#SalArmy thanx Vilonia High School, US Foods, & Lake Ice who donated food & ice for #Vilonia #tornado relief today",0,,
Err:509,1,,
Im just trying to watch the Food Channel but these fucking tornado warnings are interrupting,1,,
Game rained out...tornado sirens... Now stopping in temple for food. Wish i could stay and hang with the Kinney's and Leonhardt's!!! #fb,1,,
dang i was just bout to go get some food before all this tornado crap started...... food... shelter..... food.... shelter.... hmmmm...,1,,
RT @thegreatebenja: @MsSmiling247 mmmmm ain't there a tornado comin<---says the one going out there to get food??? lol,1,,
"Ok, we are under tornado watch...but we have plenty of food! I´ll keep all of you informed! :-)",0,,
Hi Des see ur havin fun good food & drink Us 2 The fri tornado didnt get us it was north about 8 miles #STL @TruckerDesiree,0,,
Oh nice little plan there! No for real though be safe!  RT @LadiesLoveJaye Food > Tornado,1,,
"Is it just me, or does a rain-wrapped tornado sound like a food item? Maybe from Islands? #tastelessjoke #shouldhaveeatendinner",1,,
GOOD IDEA! RT @tfft: Using Brokhaven as my tornado shelter. Beer... check food... check. All set.,0,,
I didnt want to go to my parent's house which has a tornado shelter because they dont have good food there.,1,,
@GFendley just as long as the food is good.... And you don't get caught in a flood or tornado.,1,,
RT @sexychellichel: Lmao come on bring drinks n food RT @Trigga318: Tornado party at 807>>> I got rum!! Lol,1,,
Ain it a tornado n u tryna eat RT @peArlfeKt_jeAns: do anybody know if the uc is still cooking food....im in clement hungry:(,1,,
"Drinks, food, && a tornado sounds like a good combination!! Lol
la.di.da.dash",0,,
"Post tornado, a Piggly Wiggly owner makes food free for all – Eatocracy - CNN.com Blogs http://eatocracy.cnn.com/2011/04/30/post-tornado-a-piggly-wiggly-owner-makes-food-free-for-all/ …",1,,
"Help Tornado victims in AL & GA bring toiletries,flashlights,batteries,baby food to GTRBC 4650 Flat Shoals Pkwy Dec,GA Monday 5/2 9a-7p Thx",0,,
*looks up at the Doctor food stuck to his muzzle* so .. equestria is like rare then?,1,,
*devours the food in front of him getting some on his face* whats so special about the elements of harmony anyways Doctor?,1,,
Mmm new food cart by the library downtown - tornado fries! Yummmm!,0,,
I have slept right thru a tornado and gone out to get food during a warning/watch. NEVER again,1,,
"BJC Animal Control caring for dogs displaced by tornado. Needs Igloo (or any dog houses), small bags of food. If you can help, pls msg me!",1,,
"#alwx #tornado #Madison #offer Serving hot food at #loc Madison Mission on Shelton RD in Madison, AL till 6. #src @ StuddedLove",0,,
@annaandessie Project Support  #Tusclaoosa - Donate Food & Other necessities to the tornado victims. Please RT http://bit.ly/m5oyYL,0,,
RT @1blessedmommi @annaandessie  Project Support   #Tusclaoosa  - Donate Food & Other necessities to the tornado victims. Please RT  http://,0,,
#redcross food truck drivers planning tonight's hot dinner delivery to #rainsville #tornado areas http://plixi.com/p/97846912,0,,
#Bham hipsters to donate olives and dark chocolate to tornado victims http://magiccitypost.com/2011/04/29/healthier-suggestions-for-food-donations-for-alabamas-tornado-survivors/ … (Really anything organic from Whole Foods is OK),0,,
Just donated a bunch of dog food for the tornado dogs. Thank you Greater Birmingham Humane Society for all that you do for the animals!!,0,,
@kirstiealley Tornado Victims NEEDS: (Animal Care) Pet food of all brands: Cat/Dog. Cat/Dog Collars and (cont) http://tl.gd/a6spks,0,,
Pls consider donating to the humane society & SPCA for tornado relief. Housing these pets 4 owners & providing emerg. food is a HUGE need.,0,,
@cjtemery Ppl in #tornado ravished areas would be happy for a Christmas. Will you help? Get word out #HelpRedCross NOW? No food/shelter/toys,0,,
@MiaNola5 I love Campbells chunky soup,40664.8256944444,0,
"In Walmart buying diapers,baby food, socks,underwear,hygiene products, etc. for tornado relief. So many others here doing the same!",1,,
@Lissarankin right now pl across US suffering #tornado floods. PLSE help get word out #HelpRedCross More rains coming Ppl HOMELESS. NO FOOD,1,,
3 ppl survived the #alabama #tornado in this bathtub. #redcross came by to give water\food as they clean up http://plixi.com/p/97809379,1,,
@sillyamerica THERE ARE PPL W/NO CLOTHES to wear #tornado. They have NO HOME. NO Food. Please raise awareness #HelpRedCross!!! Desperate!!!,1,,
“@JessicaAyers: Just helped pick up a HUGE donation of food & supplies for #Tuscaloosa tornado victims. Thank you #Spartanburg!!” @Lcnorris,1,,
Err:509,0,,
"Getting ready to head to grocery store & farmers' market, then on to drop off clothes, food, & baby supplies for local tornado victims.",0,,
"Just helped pick up a HUGE donation of food and supplies for #Tuscaloosa tornado victims. Thank you #Spartanburg, SC!!",1,,
"Mini-tornado scatters food, no injuries – The portal of free world ...",0,,
Err:509,0,,
"North Carolina - Tornado clean up with care?  Food destroyed, rubble may contain toxins. http://fb.me/115q5EXKp",1,,
"Mini-tornado scatters food, no injuries: GRANTHAM, England, May 1 (UPI) --  A mini-tornado scattered fo... http://bit.ly/iIN86s #Strange",1,,
If u live in birmingham check your food stamp card they r supplying them early due to the past tornado storm,0,,
"Come out and enjoy an evening of fun, music & food while helping out tornado victims | http://bit.ly/gJeH7O #raleigh #redcross #nctornado",0,,
"Damn son! Lol RT @Chronic_Key07: GM Twitter, looks like a tornado came thru my crib... N niggaz ate ALL the food??? Smh #NoLeftovers",1,,
Mazer Discount Superstore announced that it is supporting tornado victims and families with a food drive http://bit.ly/mKr6PF,0,,
"Volunteers Offer Support to Southern Tornado Victims: Volunteers provide food, water and medical supplies after tornadoes left nearly...",0,,
@mybaysidechurch is collecting water food clothing hygiene items & more 4 tornado relief. Missions Team leaves tomorrow am,0,,
We r collecting water food clothing hygiene items & more 4 AL tornado relief. Missions Team leaves tom. Items can b brought 2 church 2day!,0,,
Bayside is collecting water food clothing hygiene items & more 4 AL tornado relief. Team leaves tom. Items can b brought 2 church 2day!,0,,
"Let's help our neighbors in Alabama overcome the obstacles left by the recent tornado! Donate, give food, volunteer, there are many ways!",0,,
What a perfect day!  Butter Chicken is killing me at the moment.  I love Indian food but it rips through me like a Tornado. #lawnsign,0,,
Taking the food and clothing I've collected to tornado victims tomorrow. :) #shareyourblessings,0,,
Reliable's Can Food Drive-bring a can good to Reliable you will receive 10% off any service work-goods will donated to the #tornado victims,0,,
Moving on to a @SierraNevada Tornado Extra IPA. It really hits the spot with some spicy Vietnamese food! Any other IPA recommendations??,0,,
Special opportunities to help Tornado victims Bring clothes adults & kids + non-perishable food items Sending truck & trailer after church,0,,
Err:509,1,,
Nardilly dude cowabunga RT @moosehelmet: @Corn_Tornado most food ive ate all week.....very nice.... http://plixi.com/p/97578457,0,,
"Young's Chapel Church has clothes, wipes, diapers, food, for the tornado victims. Contact them if you or someone you know needs supplies.",0,,
"300 dead in storms across America, billions in damage,reporters are in DC partying with potus.  Never mind that tornado victims need food",1,,
Special Collection this Weekend of Food and Supplies for Tornado Victims: http://bit.ly/kIfoqc,0,,
"so the wind ruined my hair. a ""tornado"" came to ottawa. and the food fair was canceled. i think #Ishouldgotobednow.",1,,
FREE food to all affected by the tornado... Or just once that don't have food at all. Going on now at Westmore COG,0,,
"How to help tornado victims with donations and other aids: They're also providing food, blood, emergency-respons... http://bit.ly/jqd3kY",0,,
Americans from all 50 states and D.C. should write checks in the name of brotherly love and direct food and other items to tornado victims.,0,,
"RT@darrentyler 511 Prince of Wales Court, Franklin. 26 ft truck ready to be filled w/ water,food,supplies for AL. #tornado #tuscaloosa #AL",0,,
"""I was about to barricade myself in the pantry so if the tornado hit I was safe with all the food""- @hbrooksg @HomeGurlCanEat",0,,
"If anyone wants to donate clothes, food, toiletry items etc for the tornado victims bring them by the kd house by noon tomorrow!",0,,
Err:509,1,,
RT @AlOtOfYeLlOASS: WE GOOD ON FOOD CAUSE DA CHINK WONKS DELIVER N RAIN«SLEET OR SNOW«TORNADO«BLIZZARDS ETC...LMAO !!<<waab so damn tru bae,0,,
hungry but i dnt wana leave to go out n get food in this BULLSHIT OUTSIDE- fuck the rain  and thunder and lightnin and tornado watch,1,,
Err:509,0,,
"Why YES, a building with lots of glass windows is the perfect place to be during a tornado warning..HELP!! I'm stuck w/o food lol",1,,
